1990-91 2000-01 2006-07 2007-08 2008-09 2009-10 2010-11 2011-12 2012-13 2013-14 2014-15
48979 199886 326066 369942 457717 562609 620199 660551 740381 850437 964533
21498 99314 150272 169179 192204 213093 234022 273150 313170 380066 427011
15426 49622 85510 91681 114223 141781 154117 170913 181776 203672 229000
65 214 675 887 881 1185 2421 2206 2275 2249 2342
376 1603 2207 2166 2964 4193 3588 4302 4424 5267 5711
30 81 289 185 214 382 387 391 393 489 638
60 459 369 271 405 949 355 191 233 780 603
244 819 1108 1160 1711 2181 2110 2273 2480 2748 3109
42 244 441 551 634 680 736 1447 1318 1250 1362
1887 4146 3678 4477 7680 11243 16993 10500 13786 10344 13130
557 2123 3223 3771 5198 6452 6551 7161 7777 8609 10436
259 954 0 0 0 0 0 0 0 0 0
47 3 0 0 0 0 0 0 0 0 0
205 2 0 0 0 0 0 0 0 0 0
4 15 0 0 0 0 0 0 0 0 0
550 629 40 0 1444 3654 9051 1613 4323 424 676
142 191 365 649 965 1054 1308 1636 1583 1141 1772
121 229 51 56 73 83 82 90 103 170 245
2868 13401 21412 22185 31124 38754 41469 47828 53509 61713 68026
1812 7980 14638 15208 21616 27932 30024 35719 39251 46415 51319
236 44 51 52 93 148 113 106 107 107 117
445 1381 2261 2181 3266 3304 3476 3836 4134 4271 4806
375 3997 4462 4744 6149 7370 7855 8168 10017 10919 11783
2138 14220 22104 24261 32941 56149 57405 61166 69478 74076 81983
140 695 1435 1601 1739 1980 2570 2469 3692 5469 6312
2450 12060 24014 31328 43751 58443 63844 72822 85000 92000 115000
77 275 510 611 895 814 496 568 513 514 515
197 399 1379 11011 16672 16790 18588 1528 1256 1300 1427
1857 3936 12870 10555 12643 18185 24687 13098 11501 13765 14077
34566 91884 219087 304293 383107 413852 525019 580897 602503 661141 737229
6432 25143 54907 67757 90386 105314 128906 139404 146815 159152 174260
2191 8730 25340 29072 38375 42862 55395 63010 69105 75154 80933
1319 4121 8901 10067 12653 15310 16566 17036 16959 18989 24415
734 3147 7177 8790 11103 16597 21219 21403 24340 23519 12869
786 3105 6280 9091 10392 11913 13571 15522 16267 15271 22982
265 2577 4099 5542 11221 10848 12465 12388 9599 13731 14396
114 269 458 1024 1629 2427 2250 2370 3071 2039 3830
608 977 1144 1105 1232 1476 1646 1704 1750 2122 2452
300 888 1903 1939 2298 2238 2806 3322 3642 4121 5346
91 1211 592 864 1132 1152 2323 1940 1452 3466 5784
9 27 32 37 91 105 127 178 144 251 279
15 91 165 225 259 386 537 533 484 488 975
4045 1183 6146 46798 7583 5734 28067 23707 20838 49074 56221
2811 834 1740 2494 3677 2481 3728 2806 3044 3624 3980
17 32 131 88 100 96 99 102 88 86 111
771 -40 -4009 35631 1900 1200 21984 12095 12618 16100 11300
132 -65 17 408 -185 15 -2563 2886 153 498 447
1 1 0 0 1 0 0 1 1 1 1
120 99 70 83 126 198 174 169 544 3928 4711
8 22 446 633 594 552 672 735 723 758 205
185 300 7752 7461 1369 1193 3972 4913 3667 24079 35465
3227 8503 30593 44157 65828 62330 78869 70414 73814 75264 119049
547 1500 4800 11379 6390 11342 16801 16061 17314 17320 20520
19 132 617 564 659 630 825 830 980 934 1418
4 15 115 142 129 133 304 536 502 438 494
516 4627 18692 23812 46114 42259 48721 41639 40429 41713 81393
2142 2229 6370 8261 12535 7966 12219 11347 14591 14859 15225
2257 3916 13111 9534 17995 28643 56125 84853 112672 102972 84643
4400 13811 26222 32490 76602 61264 62301 70792 65613 67972 72970
3124 3998 7132 6711 9034 10586 9993 16946 8244 10378 18864
2402 3379 5860 5836 7727 8394 8171 12277 4313 7473 11440
38 122 164 197 298 363 363 389 394 449 1126
38 105 119 117 152 192 209 260 260 262 537
645 392 988 562 857 1638 1250 4019 3276 2194 5761
3603 17058 34370 37898 42542 60443 76035 74156 70333 81020 89668
1632 3269 7554 8135 9545 16911 18385 20013 24132 27000 30100
409 769 290 548 406 434 274 234 146 262 492
960 9970 20692 22176 25014 30152 45026 44149 30101 35043 34555
29 231 505 1289 878 2019 2591 2161 7159 7099 7554
190 861 1088 1338 1353 1325 1596 1355 1325 1724 2076
382 1958 4241 4412 5345 9603 8162 6244 7469 9893 14892
378 704 1193 1421 1752 2084 3855 2587 2842 3027 4000
7100 17569 45411 57527 71385 77452 80868 98040 101333 112282 117553
346 1197 3002 4120 4619 1742 0 0 0 0 0
2000 2 0 0 0 0 0 0 0 0 0
3515 13026 32838 42389 53662 57946 59289 70080 72240 82423 60332
244 588 1217 170 246 225 424 579 717 858 0
215 450 458 500 601 459 590 659 874 790 1037
733 2306 7897 10348 12256 17080 20565 26721 27503 28211 56184
5 0 0 0 0 0 0 0 0 0 0
3394 11579 28454 26365 27259 29697 31514 43973 45253 55290 64675
3244 11579 28454 26365 27259 29697 31514 43973 45253 55290 64675
150 0 0 0 0 0 0 0 0 0 0
13940 9662 -8672 1386 6748 7034 11166 1577 5440 8194 13005
9869 8798 -10368 -1584 4404 2593 971 -667 4548 2497 3251
14522 20490 4970 6706 7115 7907 10299 10088 14059 12083 13083
13865 17348 4970 6706 7115 7907 10299 10088 14059 12083 13083
657 3142 0 0 0 0 0 0 0 0 0
4653 11691 15338 8290 2711 5314 9327 10754 9511 9586 9832
4071 864 1696 2970 2343 4441 10194 2244 891 5696 9755
6187 5971 5049 5071 7471 8209 14819 18307 8004 10418 12740
4418 5229 5131 5176 6738 8015 14529 17451 6331 8964 9746
1768 743 -82 -105 733 194 290 856 1674 1454 2994
2116 5108 3353 2101 5127 3768 4625 16064 7113 4722 2985
13940 9662 -8672 1386 6748 7034 11166 1577 5440 8194 13005
20708 26461 10019 11777 14586 16116 25118 28395 22063 22501 25823
18283 22577 10101 11882 13853 15922 24828 27539 20390 21048 22829
2425 3885 -82 -105 733 194 290 856 1674 1454 2994
6769 16799 18691 10391 7838 9082 13953 26818 16624 14308 12817
30865 105854 96441 151270 174570 446835 366344 412066 510564 507385 537831
8001 72931 110446 131768 233630 398424 325414 436211 467356 453902 461205
8309 8192 -13833 -174 -4065 26030 3950 19078 11934 2997 9533
1221 4922 5178 3897 8041 16056 12514 10804 10921 10000 12000
781 9595 33239 16212 89011 8745 -10058 -15557 -6704 4981 4969
6722 7177 -559 -1246 -2333 0 0 0 0 0 0
322 390 647 -1079 -1634 1397 4832 311 2601 -2138 -1789
